text,label
I had everything and I have nothing.,1
"The sad thing when you lie all the time is that when you say the truth, it always sounds like a lie even to yourself.    ",0
"When you have gone through many betrayal and disappointments in your life, you realise that it's better to keep people a few feet away from you.    ",1
Silence might be suffocating and unbearable but you can't deny its comfort when you need it the most.,1
"so like... i lost all my followers but when i press the thingy to show who im following and who my followers are, theyre all there...   Send help ?????   ",0
"I was not, am nott and will not be enough ",1
hi sorry ive been so inactive lately ive been,1
Imagine having a figure like  ffs Id never wear clothes! shes just bloody perfect - wish I hadnt seen these photos    pic.twitter.com/EKeUu6aXvY,0
I admit I have been  the last 24 hrs. I have barely been smiling and just cannot shake it right now.,1
Never in my life have i ever been included. Then when I had my daughter i still never got included on my own 24.7 and now I have 2 kids still it happens to me.    pic.twitter.com/Bt9J2yE4Zz,1
i'd kill myself if it was that easy,1
"today I died to a mech in fortnite I'm  and , going to blAcK ouT my profile picture smh my head",0
" people may be preoccupied with thoughts of worthlessness, inappropriate guilt, helplessness, hopelessness, and self-hatred.",0
"I'm having a good day today, might have a terrible one tomorrow, but I just want to remember that at least I had a good day. It's so easy to forget  ",1
I think depression and grief and anxiety and so many mental illnesses really are like the ocean. Sometimes it's a great day for swimming and sometimes the waves are knocking you flat. It never fully gets better. But try to hang on to the good days guys. I will too,0
Having depression is just like hell!!! Omg    pic.twitter.com/AeMNWwFdg8,1
"oh no  Bennys my love, my life came on shuffle and Im   pic.twitter.com/gg7pWVFvat",0
"I feel like I broke myself. I feel fractured and tired and I can't stop blaming myself like a broken record. I'm finding it so difficult to just survive, but I am surviving and so are you. I guess we can do this   ",1
Thank you everyone for your support. I've been struggling with a lot and you've really helped me feel a bit more human and a bit less alone. I hope you guys are feeling less alone too,1
I am not even a nobody to anyone,1
You wanna know what is sad? Having a broken family while dealing with a broken heart.,1
"Well, I just had the most depressing dream. It was when I finally found a beautiful girl to call my own, and we had a long, lovely kiss. ??  Only to discover.........it was only a dream. ??  Thank you, dream, for messing me up inside with a LIE!   ",1
"This morning I have got my anxiety, and it was so fucking sickkkk bro   pic.twitter.com/tOEuxQLIad",1
Ya girl was really excited to sign up for informed delivery through USPS so I could see what fun stuff was coming in the mail... plot twist its all just bills,0
"I hate Twitter. Anyone  or  today, here are my . pic.twitter.com/q6kKhO7MCR",0
Dear Life: Please be gently to me.,1
"I almost died when i was a baby because i was in the womb for an additional month, i went  while in the womb and it burned my skin, went in my mouth and i stewed in it for a while. I had to be rushed to NICU and they put tubes in me. Sometimes i wish i didnt make it ",1
Why is it when girls got broken they cut their hair?   depression always got me here i ??,1
Not felling the best right now... Life and anxiety is getting the best of me??,1
I hate having/being crushes/in love ugh,1
I'm gonna see you one last time,1
" good evening all! I have had a most interesting and life - defining day. How about the rest of you? Feeling well, bad, middling, over the top, or what? I'm  but trudging through its muddy presence with all my might!",0
Before pictures of the Fortress of Solitude because I have been so   pic.twitter.com/kejJRCyF9L,0
"Asked our girls how they would react if their best friend didnt invite them to their birthday party.... one of them said  dont hit me up, only real ones know whats up.",0
"Whenever I see old people at the  I always get so . Like, apparently I have to do this forever.  ",0
Not even in a sexual way but Im just craving affection because I feel like crap. I just want someone to hug me for a couple of hours and tell me Im going to be okay.,1
Why are people on twitter so depressing...,0
Of course Raj has twisted tea bags after I graduate..... I never got to throw my Boston tea party,0
"Feeling a little depressed this evening, was wondering if this was connected to my little drink or just coincidence   ",1
"Feeling really down today, guys ?? not posting much but my dms are open if anyone wants to chat.  ",1
"For anyone having a bad day, I love you. It doesnt matter if anyone else out there does, know that I do. So next time you see yourself in the mirror, smile.  ",0
Some days I don't feel like I'm giving my 2 enough ?? I'm not loving them enough hugging them enough telling them how much I love them Enough! And it really upsets me to feel a failure at the one thing I should get so right and it often feels so wrong. Hurts alote,1
Just finished Schitts Creek and didnt even know it,0
do my tweets exist out of my profile cuz i dont think they do no one finds them,0
Microplush blankets are the  of  people.  pic.twitter.com/rb53cZSTXP,0
At this point Im just workin to die.,1
"After diagnosis the following day, I was in total denial. How could I be ? Me? My ego & denial instructed me to do Reverse search of myself. (This time I was on antidepressants) At least I knew what I was doing. (But with a swollen mind)",1
"Well my darling Beatrice has now got cardiac cachexia, basically because of her heart disease she is losing weight quickly ?? Her heart consultant says there is nothing we can do to stop this as it is part of the disease progression ??  pic.twitter.com/oNm1tNFjVW",0
"I feel like a mess. God, help me fix myself.                                                                   ",1
My nephew just told me I can't have a cookie. .,0
"When you're  you don't control your thoughts, your thoughts control you.",0
I just want to watch One Punch Man and not get out of bed.,1
What sucks is when youre talking to someone and start feeling good about yourself and then they stop talking. Youre left wondering what you said wrong.,1
I never thought I'd see my life represented as an emoji     pic.twitter.com/GkCLHHZ1sT,0
"Rain, the cold, wind and the first ripe cookers of the year. Autumns coming early to South Buckinghamshire....  pic.twitter.com/OvflB8Foef",0
If this shit ain't making me famous soon... Igc .... Or something   If anyone feel petty for me.. Then PLEASE HELP ME! ?? I just wanna be loved and appreciated!   And igc = I'm gonna cry..  And not I'm going crazy. If anyone asks.,0
Creating this account because Im  lol.,0
"I'm feeling lonely and unproductive these past few days. I have many failed expectations to do something worthwhile. It's been 5 months since I moved to a new city & yet I gained no friends, I have not travel to any places like I used to. I need to detox. ",1
How can someone who truly believes that theres absolutely no reason for them being here have the strength to keep living?,1
This last year has been the most mentally/emotionally draining and exhausting year ever. Im just not the same person I used to be since he left me??,1
Can someone point me in the nearest meme direction? I dont have insta and now idk where to find them,0
"depression is real. if you're feeling , talk to somebody. talk to me. im all ears. it helps.",0
Feeling unappreciated.   I feel really crappy about myself right now.,1
wow im  but i have so many good things happening in the next few months i just gotta hang in there.......,0
Tooth aches are the worst ??,0
That moment you miss someone and hurting over the memories and when you got a crush and looked like an idiot going to his dad for his number cause you don't know how to talk to him and looked like a bigger idiot asking to be good friends,1
This whole depression fucking sucks you can look so happy but still be so down inside your head ????????????????????????,1
900 mAh Laconic Style Vape Kit  pic.twitter.com/WDCJREnfhw,0
"i find it really interesting how  shows up differently in men vs. women. Depression in men usually manifests in men as workaholism or addiction. in women, you usually see the more classic symptoms like crying,  mood, difficulty getting out of bed, etc.  pic.twitter.com/C6Hi8MOkKB",0
i miss being 13 because now im 17 and,1
Even 'Pandar Molom' Is More Successful Than Me...,0
Today I decided to admit to myself that through all that Ive been going through this year Im happy ....,1
"I just need 2 more things to do... But, why is it so hard? ???? ",0
"Waste of time at the GPs this morning regarding  and  feelings. Given some numbers to call for NHS self referral counselling which has up to a 12 month wait ?? The attitude is a ""get on with it"" or change areas of your life you're not happy with ??",1
Happy belated birthday koy   pic.twitter.com/YyTNdO2TcX,0
"H've you ever  tweeted a tweet liKE    (etc,etc).......????  People will likes them tooo.... So don't show your sadness in social media.....!!! Be StrOng......",0
Crying with a loud music so no one could hear me,1
Honestly cant trust anyone at this point. ????,1
My boyfriend told me he is tired of my shit. I keep on hearing that sentence out of a big fight. No one realizes that i don't want this shit. I was raped by two men when i was 15. And i found out my dad isn't my real dad. My real dad wanted me aborted,1
I feel like I dont have a purpose in life.,1
how do people cry happy tears? i guess ive never really been truly happy?,1
"Less than two weeks until summer 2019 is officially over, I am ",0
"I cant have any friends anymore fr. I just got voice banned on xbox and the reason he put was ""Killed and danced on me in Fortnite"". ??  ",1
Idk how Im gonna be able to go to lover I have to buy tickets with my own money and Im literally broke,1
hi i cant get out of bed because im,1
Really miss family days out   pic.twitter.com/J6Y3PbdCu7,1
"Gazing in wonder at what may be, my last wine club shipment.  ",0
Geometric Design 80W Vape Kit  pic.twitter.com/qTuOiX6PO9,0
"Some of these ,   quotes are just cringe",0
I hate a tease!! First you get my hopes up and then you act like its all fine and then nothing. You just freeze on me and leave me all alone in silence. It so very rude. I hate you Xbox live,0
I wish life was simple and painless. Whenever you think you're happy and think you got it all  life comes and screws you over.,1
"I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're  or . Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/CIMOnc0ocM",0
So much for riding September October. Minimum November so let's just say done for the year??,0
Or when you are  and you're all like I know all my demons we chat all the time.  pic.twitter.com/YadUUZhU6E,0
This song on repeat all day    pic.twitter.com/b6lMpVGyPz,0
I will choose to leave than to live..,1
I always have a reason to be upset and,1
"   I do not know anymore who I am in life because of my parents . I dont know if I still own my life the fact I feel shallow. Why does life always seem to be unfair , to the point u feel nothing.",1
"Dysthymia is a state of chronic  mood, the symptoms of which do not meet the severity of a major .",0
some things you said kept me up all night.,1
A  () happens when a person has at least two weeks of  mood.,0
"Silently screaming for help inside, wanting to die and wishing someone would see and help me   ",1
I'm sad/depressed again & it's my fault for not changing it.,1
wtf bro 0 stars in my first attack in war fuck this shit man,0
Compact Metal Leaf Grinder with Four Layers  pic.twitter.com/VTan3PBT6H,0
Feeling bummed out rn. Family is disappointing and friends are too far away. ??,1
Really trying to not look at tweets or watch any videos from Alisons first red rocks show I am,0
Small Ceramic Ashtrays for Cigars  pic.twitter.com/ZYWWqXc427,0
I dont hate white people. White people hate me. I dont hate white women. White women have rejected me constantly. I am white myself but we really do suck,0
Anyone want to talk? I'm feeling depressed,1
I like this and thought I would share in case it helps a little    pic.twitter.com/m2alvA4RN5,0
I accidentally Fucked up my hair  ??????,0
My dad *beating my mom*  Me in the other room trying to distract my siblings so they can't  hear my mom crying:  pic.twitter.com/oJDoPee3AB,1
"If I DM you , Will you reply me...?   ",0
Been super  maintaining control & not comfort eating toxifying my body; Rationally i know i'm just hormone cycling but the pain sucks so much will take a few wks for endorphins to replenish; Chanting & sleeping most of week .. Netflix & chill in bed .. repeat ..weee!  pic.twitter.com/K3maSdAzrT,1
"No no no, everyone is starting to go back to school & Im not ",0
man im really one of those bitches who says theyre broke all the time but will spend 40+ dollars on alcohol every weekend sorry Im just,0
mood is often one of the early symptoms of hypothyroidism (reduced activity of the thyroid gland).,0
Out drinking by myself self got that  feel today bois,1
Feeling depressed. Need to find who i am and job wise,1
It is not a beautiful day as usual.,1
Have you ever been devoid of touch for so long that even a touch on the shoulder could send you into tears?,1
Nobody chooses to be . But we do have the power to choose how we deal with it. We can give in & let the black dog hound us.  Or we can choose to fight the inner b*tch that keeps us prisoner. Start by choosing to ignore her voice & choose  thoughts instead. pic.twitter.com/zMZcKcpuJb,0
"They say life's short, but I'm bored already.   ",1
I truly wonder what is wrong with me? I try my best to do what makes you happy yet it doesnt. Maybe Im not the one YOU want and it kills me to think that.... maybe youre in love with someone else and not me...,1
fuck that guy who made me feel like shit again.  ????,1
Chocolate cake for supper.,0
No more Twitter for tonight... Today is officially my birthday.. and I wish I was dead... ????????    pic.twitter.com/t1TP7HcFJr,1
Im now  I will be blacking out my pfp and deactivating. Expect to see me back in 2 minutes tho cuz Im a clout chaser.,0
when can I really respect and love myself more than anybody else?,1
ugh im so unhappy and at war with myself,1
i have no classes with my neighbuour or my budster and we dont even have LUNCH ??,0
You ever been so  depressed you cant even get it up?,1
"Such is my life! Too many weekends lost this summer to the damn IBS! So, so sick of it!   pic.twitter.com/z3Kw5dKl6K",1
"Another year of me not going to beautycon ?????? , seriously worst day of my life ",0
"Someone has told me, ""You have very pretty eyes and a smile.. but it's hard to ignore the Hurt, sadness & disappointment behind it."" ??",1
Saturday nigjt watching this is england 90,0
Timmy said I changed  I'm depressed eboy now,0
I'm running out of time. I don't know what I'm gonna do right now.,1
so..had to restore my phone today..all my beautiful memes and stickers are gone..I feel like my son died.,0
I'm starting to lose faith in me getting better..,1
sorry if i dont reply to dms/texts iiiiii have only been talking to ry and soph bc i feel  depressed so. Yeah ??????,1
"i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay and think about all my problems. ",1
Eeyore was my favourite Winnie the Pooh character growing up.. now I understand why ??,0
"No mater how many times you lose in a game, it will always tell you ""try again""... When things go sideways, sit back and enjoy a favorite game.   ",0
Am I drinking  and being  before going into work? Youre damn right I am????,1
This algorithm can guide management of the next  or Suicidal patient you see in your ED.  covers this complicated and critical Chief Complaint. pic.twitter.com/z3EKgdKzY0,0
" people may have problems concentrating, remembering details or making decisions, and may contemplate, attempt or commit suicide.",0
"   God, please help me.",1
Guys!!! Im  im leaving Twitter!!! Am blacking out! ????????  pic.twitter.com/2ZPKNJ2QzA,1
So just been looking at profiles of my other half's family accounts on Twitter and i'm extremely depressed that my life is full of ChronicPain. I'm not living a normal fulfilled life like they are. Why is it taking over my existence..?,1
"I'm very unhappy, I don't have a girlfriend, I don't have a Boyfriend and I don't Like where I live   ",1
nobody knows its my birthday am so depressed,0
I saw a sad video and it ruined my whole day. So now I'm drinking a michelada and just bought 60$ worth of weed,0
"I'm not sure if other people with suicide/depressed/ friends/family/etc ever worry about waking up to the people they care about just... . And it's really difficult to process day after day, and try to act like nothings wrong.",0
I just wanted smash burger but Im on crutches and they dont have a drive through so Im,0
Friday night. Trying to relax. Can't. Today was the 2nd time in my 20 years of federal biofuels advocacy where we just flat out lost. No way to sugarcoat it. Leaves me sick to my stomach knowing what farmers are going thru and seeing biofuels plants shut down.,0
"Im watching One Strange Rock on Netflix, talking about how Earth began, how it survives, its dangers and our danger. These types of documentaries always remind me how nothing fuckn matters and were all gonna die because were killing ourselves?? ",0
I really need commission work,0
"PLANNING FOR THE NEW WEEK  ""Failing to plan is planning to fail"".  In the last few months, I've allowed my depression to control my ability to function.  After 3 months of meds, I'm finally productive.  What your plans for the new week?    pic.twitter.com/3RDI20arti",1
How do I find joy and pleasure in life again?,1
We rush to care for physical problems but often act like emotional problems are unimportant.,0
I'm not sad. I'm sick.,1
Depression bit me so hard it took me months to get back on social media,1
You don't understand  until you can't stand your own presence in an empty room.,1
"physical wounds heal, people forget what happened to you, how hard you have to fight the demons inside every day. I wish people could see how hard every day is for  have 1/6 of my brain missing, some days are bad...   pic.twitter.com/6d8IwVHsfG",1
can have many different symptoms.  pic.twitter.com/CeORRKfncL,0
Today is going be a shit day,1
"Infact if you keenly observe all religion haters, community haters are currently down with depression attack.",0
I couldnt be with people and I didnt want to be alone.,1
Do you set boundaries for yourself. Not doing so will eventually create unintended stress and anxiety. Setting boundaries will make life a whole lot easier.,0
how many days of being unable leave bed and do the things you usually enjoy before alarm bells ring?,1
I haven't talked about hoarding and depression in a while. I'm on a quarter dose of meds now. And I'm still a bit stuck with hoarding. Decided to try to do some removal for efficiency today. I found a dotmatrix printed transcript of  from . Fullpost Twittr.,1
I'm just going to say it. I'm a complete fucking mess here! Seriously wanting to just run and kiss a certain individual. She knows who she is. I can't tag her in it tho. She is still my better half.,1
I cut today. And Im not proud of it.  lmao I feel so edgy putting a depression hashtag. Whateva idc.,1
Hey what s up family I'm having depression for dinner,0
What depression mean :) Laugh outside down inside   pic.twitter.com/tkZeniwtIb,1
I need friends on here so lonely talking to myself just mad this Twitter and need friends ??,1
"Hewwo, I'm kinda feeling down. I don't think I'm ever going to be noticed as an artist. I promote and such but I'm not sure what would draw attention to others besides requests. Which is fine but I'm not really making a name for myself. And I hate it.     pic.twitter.com/8yZKCDI8xh",1
"Sometimes when you plan your day to be the most productive, depression puts you down anyway. You have to be your best even then and proceed with your plans.   ",0
"just learned that the wizard of oz was a metaphor for the monetary system in the wake of the great depression. yellow brick = gold, Oz = ounce, etc. Theres way more.   ",0
"This journey to become a YouTuber isn't easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ain't easy. I do it for the one person that needed the message not the haters.  ",1
"Anxiety in the heart of man causes depression, But a good word makes it glad.   Proverbs 12:25",0
"If you're friended with me, and I find out you think all someone has to do is snap out of it re: their  and PTSD... do me a favour:",0
Welcome to the panic room Where all your darkest fears are gonna Come for you    pic.twitter.com/8k0iXet8z5,0
"Friends & family should be on your side when it comes to helping you manage & eventually beat . Being open about your illness with those close to you can help them understand whats going on for you, and why they may think youve not been yourself. ",0
"The worst thing about  is that it teases you thinking you are getting better, but then it drops you back to the bottom harder every time.  I wish I could just be happy....  pic.twitter.com/zRf2H1L13H",1
Deserve the world and if you feel like nobody cares or wants you here I do I love you and I care and I want you here dont let this people tell you that your not worth it because you are your worth everything,0
"Despite being physically very unwell this past week, I am mentally feeling very strong right now. Genuinely excited by the opportunity to kick on now and make the most of life. Overcoming  one step at a time.",1
"and if you try to stand up for yourself especially when it gets too much, you are being rude, and disrespectful.    happens.",1
The next story about depression was also awesome. What a super lady to shine through tough times and then tell her story to help others.,0
I lost in a maze. How to escape?,1
"Darkness won't fade. It envelopes you, crawls under your skin. It stays and never seems to leave.   ",1
"Amazing how you can be so fatigued and unmotivated, then a few sweet words of encouragement can mobilize you in minutes to leave the house. Words like ""He didn't deserve you"" or ""You can get better."" Or ""Chinese food buffet."" I'm not proud but that's where I am. ",1
No job. No car. No money. No worth. .... ..... ....... Thats kinda where I am @ right now.,1
"Why does certain things happen? What can be done to change this? Questions, are the worse.   ",1
Im watching my show and its still not keeping my  depression and anxiety at bay. This stress is crushing me :(,1
If you're dealing with depression just remember you aren't alone talk to closes person who been there for you and trust you I know it's hard to speak up I'll try to help you too as much as I can to hear your problems,0
jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on  leaving me to fester under the poverty line for 10 years,1
"I can't get through this without pain and suffering. And I'll just keep on talking, trying to make my way through every day. I love you Debbie. ",1
I used to imagine I'd hear something at the door. I'd hear a knock and I'd pray it was her. Or I would hope it was her. I had dreams like that. I'm not having dreams like that now. I know she's gone. She won't be back. Ever. I sure love her. I sure miss her.,1
"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that's all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left. ",1
"That she feels good, feels no pain, is happy. If there isn't, I'll probably never see her again. Unless there's some other side, like hell. How she may get to that side, I don't know how that would be. She was too much of a saint. ",1
"Came up here, a new life, after the last divorce and a year of being in pain. Slowly dissipated, but it's never gone. I've been abandoned again. Lost. Taken away from happiness. But I sure hope Debbie, if there is another world, a heaven, that she's in it. ",1
That... I couldn't believe my luck. I was so excited to be with her. Or going to be with her again when I lived in Chandler and she lived in Spokane. We connected again through email. And we started talking and texting and emailing. I was so excited.,0
"I dreamt the other day when I would see her again and be with her. At least see her again. I finally got to in 2007. It took us two weeks to decide we loved each other still... looking at the old emails. Or less than two weeks, I don't know. ",1
"She didn't go out with anybody. She died. It's really hard to accept sometimes. I feel lonely. I feel lost. I feel like I don't have anybody there for me anymore... who can pick up the slack, when I'm lacking. I guess that I'm glad she's not in pain. I sure miss her. ",1
"And I walk around the house and sometimes I think just momentarily that she'll be back to take care of this or that. And I realize she'll never be back. She didn't go away on a trip. She didn't go away on vacation, she's not at work. She didn't go to the store. ",1
Manic depression has taken by soul I wish I could all this pain away,1
"Having a double mastectomy, very painful. Having radiation, never being over the pain. Taking pain killers, a lot of pain. And being diagnosed with Stage-4 cancer a year later, November 21st, 2017 to November 21st, 2018. And she died two months later, Jan 21st, 2019. ",1
"I walk around the house and I see things of Debbie and I think of her. I think of the pain she went through, suffered for so long. All those procedures she went through. Between finding out she had cancer and the pain. Having chemotherapy for a long time. ",1
"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again. ",1
"No matter how hard I try, I cannot force her memories from my mind. As much I loved and love her, I don't want to think about how much I miss her. She was the person I need the most when I feel this way. She would talk to me, she would spend time with me. ",1
"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?  ",1
"Despite every attempt, my outpouring of emotions fails to strike substance and falls to the wind dispersing with the world's other particles. ",1
Depression is like wearing a one of those weighted blankets- makes it feel real good to lay in bed for 16 hours but also makes it pretty exhausting to do anything outside of that,1
Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1
Try to keep up with social activities even if you dont feel like it. It'll help with,0
Mindfulness Therapy is the application of depression for healing  and  and emotional pain. This is a very powerful approach once you have learned how to do this.,0
Hello darkness my old friend  I've come to talk with you again...,1
Come on. I took an extra 75mg of medication and  and  are still kicking by butt today. Think I'm just gonna pic.twitter.com/5sE2izjGOc,1
"My Anxiety Disorder, PTSD, Depression   are real and today I am battling. My happiness is fading and my brain is messing with me so badly, Ive been trying hard not to cry, trying hard just to stay positive but I am struggling.",1
"I almost rear-ended someone stupidly bad earlier because my brain, and body are so exhausted, mentally and physically. My anxiety has been so bad today. Its been a struggle..   ",1
"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it.  Top it off anxiety is at a high too.  ",1
"Felt good that I was at least able to get my laundry started, but haven't done anything past that. Though I've at least fed myself today. :/  ",1
Mindfulness Therapy is the application of depression for healing  and . This is a very powerful approach once you have learned how to do this.,0
"you all depression ever made you stay home and cancel plans for weeks, but then feel like you're going crazy cuz you're home all the time? ",1
I didnt want to wake up. I was having a much better time asleep. And thats really sad.,1
Just realized I was too depressed yesterday I haven't ate,1
Are you feeling like you don't deserve to be going through all of this love problems have you given your whole heart to this person has this person betrayed you and make you feel like you're at nothing DM free reading today    pic.twitter.com/dDCsytXjbl,0
I cant Take it ????    pic.twitter.com/vXqNH9NjH6,1
"People: ""Just exercise, you'll feel better."" Full depressed me: ""k"" *bikes 20 miles* *showers* *curls into a ball and weeps* ",1
I feel like my husband are growing more and more apart.,1
"Me: My ""check engine"" light is on. Mechanic: Which car? Me: No I said mine.  ",1
Best anxiety & depression  quick fix : the loving eyes of your pup. The world feels 1000 times more hopeful after a receiving some . pic.twitter.com/PlCs6KUyGj,0
"41 year old woman wth chronic pain,  and  ""I've noticed that I'm not breaking down crying everyday, my mood seems to be more positive and the intense, intrusive thoughts aren't as strong. It's only been 6 micro doses but I feel like I'm seeing some improvement.""  pic.twitter.com/CFTdb6q2ka",1
