Prompt,Model Response
"ANGEL        I don’t think much about it anymore, but there was a time I couldn’t get it out of my head.     It was a day I didn’t think I would survive, the metropolis of intuition that was vacuumed in my mind was endless.  I wanted to get it out and fast.  I hate myself when I am so inconsistent and incoherent.  I am in a state that cannot be reversed or understood.  I can’t remedy it.     Sex was never as good with her as it was in my mind.     There is nothing like cotton t-shirt sheets.     I feel creative but can’t understand why.  It’s been months since I have written.     The sunlight wakes me again, and I want to die.     I hear Massive Attack in my head…..the soft ambient noise in my mind that seems to always be there.  Angel, Angel, Angel.  I love that girls voice.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Oh yes, it's my first blog post--I had a diary, but this thing looks oh-so-much cooler...Today was actually a lot better than I expected it to be. School was short, and non-boring. I actually didn't get an buttload of work the first day so I'm a happy kid as of right now...I probably should be in bed, but yeah I'm dumb and I'm doing this instead *woo hoo* I actually wasn't going to make one, but I wanted to post a comment on Will's thingy and it wouldnt let me without an account haha so oh well.  Yeah, I'd have to say the most interesting thing about today happened at the pool after school...I went up the mountain w/ Will to get some *more* sun so we can be super hot for our senior pics on Friday, and as we were gettin ready to leave, he got on top of my chair and gave me a kiss--well, I sat up and * BAM * my top falls off lol oh yes...good times...Yeah, it wasnt TOO funny at the time, but it kicks the shit outta me now lol That'll definitely be a good story to tell the kiddies...""Look mom, it's a girl without her top on!"" ...great... haha  Well, I've still got some stuff to finish up for tomorrow--more tanning up the mountain...except this time with a broken swimsuit lol hmm, maybe it's time to get another one? Oh well, I guess I'll just go topless :)~ JUST KIDDING...geez, dont get too excited.  Ok well I'm really goin this time--leave me lots of happy comments for my blog and make me feel special!!!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Cameron woke up at 4:00 a.m. from a strange noise coming from the kitchen. She thought it must have been Mrs. Chives from upstairs doing something. Cameron is a cautious girl, so she got up to check it out, just in case. She grabbed her pepper spray from the drawer of her bedside table and slowly walked towards the kitchen door. She pushed the door half way open, quietly, and stuck her head inside. She looked around the kitchen, but didn't see anything. Being annoyed by the whole ordeal, she dragged herself back to bed. She almost fell asleep again, untill she heard someone humming at the end of the hallway, with a woman's voice. Cameron is also a very down-to-earth girl, so she tried to find a reasonable explenation for it... it's like a reflex. ""Maybe someone is lost or something..."" she said to herself in a trembling voice. The humming sound kept getting louder and more intence, and the room got a bit cold. Her bedroom door was half open, and the only thing that lit up the room a bit was the moonlight, shining through the window. She kept staring at the hallway and breathing heavily, listening to the humming sound. She thought of asking who it is, but she wasn't that bold. Out of the darkness from the hallway, she could see two bright red eyes... she just sat up on her bed and had her eyes wide open. She didn't know what to do, so she panicked. She closed her eyes tight and tried to convince herself that it was just a dream. As soon as she opened them, she saw a shadowy figure standing at the foot of her bed, with the bright red eyes. It whispered something to her, but she couldn't understand it, mostly because she was terrified and extremely anxious. It reached over to Cameron's face, and she could see it's hand in the moonlight, it was as white as snow. Before she could do anything, her window opened and someone jumped inside! The figure with the red eyes turned, facing the other person. It started hissing, and it vanished in thin air. Cameron couldn't believe her eyes!      Who is that someone who saved her?   Did you like my story so far??? If you want to find out who that person is and what that creature was doing there, read my next post!!! ;)

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Well, here I am. I decided to start a blog. Now, I am not entirely sure why I decided this for a number of reasons. 1. I am rubbish at writing journals/diaries/most things, so this is not going to be very good 2. I don’t really know anyone on this thing so no one is actually going to read it, but I guess it might be therapeutic...or something 3. I live a relatively boring life, so there is not going to be that much to write in here.  So apart from all them, this seemed like a good idea at the time!  A few days ago I came back from a holiday in America. America is awesome. If you ever get a chance to go, you should. And if you’ve already been then... go again! I had a simply marvellous time! Visited both New York and Orlando... had to go to Disneyland. new York is like no where else, I stupidly thought London was a big, busy, over-crowded city, but it is nothing next New York City. I am not sure if I would want to return, as i have now done the whole statue of liberty, show on Broadway, baseball game thing... but saying that I do think I would like to go back with a bunch of mates and just go crazy! Florida was... well... hot. And heat does not like me much. Therefore I tried to avoid it by standing under lots of fans. Despite this, I still managed to get heat rash and a severe case of sun burn. I think the sun does this to me on purpose. I also discovered that universal studios is better than Disney land... I couldn’t tell you if the rides at Disney land are better than those at universal studios, mainly due to the fact that I couldn’t get on half of the rides at Disney due to the immense amount of queuing it would have taken. Queuing that I can not be arsed to do.  Hmm... this is the end of my first entry. I do not want to end it here as I do not think i have really told people much, but my brain works in mysterious ways... possibly through the use of 3.5 small monkeys and lots of sticky tape... but however it works, it does not want to think of any more to write right now.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Wonderful news all! this is my first post..it rules...wanna know why? cuz im BORED and its like 12 on a friday night and im DrUnk (thank you brother) and i have a post forum thing! wooooh/..god i love my bicardi..its my jesus man..anyways, alcohol makes me happy, so whoever says it makes u depressed....fuckin...ur wrong..Biiotch         ok now everyone got offline...damn...and im bored..damn

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Church was so much fun last night especially when we had the banana and orange eating contest.  You might be asking why it was so much fun, well the reason why is because you could only use one hand to eat both of them and I beat 4 other people!   Levi, Jessi, Joni, AJ, and everyone else knows how fun that was.  After church I went to one of bestest friends house, we ended up staying up until like 5 in the morning!  We ate Burger King for dinner and had Taco Bell at like 2am.  When we got to the window at Taco Bell we could not stop laughing, I wonder if the guy thought we were high (Levi knows what I'm like at 2am lol).  That's about all that we did.   Hey Sarah!  It was so good to see you at church, since I haven't seen you your graduation party.  Next time that I talk to you I will tell you who the peom is about.   Sorry that I don't have any more wonderful writings for you, Sarah and Levi, but I will try and write something later, so that way you will really know how I feel!  Love ya! ~Chel'C

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No.
"On the last day of school a very close friend of mine that I've known since preschool and another friend went to Wendy's. Here are their pics:   urlLink    Here's the friend since preschool.  urlLink      urlLink    Here's another friend in my Bio class.  urlLink     We walked downtown to Wendy's and came back to school to hang out. Then all of a sudden this psycho crazy person comes and is yelling about seeing a roach's son!!!!   urlLink    Here's a crazy person that ran up to us telling us about a roach's son!!!!  urlLink

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  Based on the information provided, it appears that the person who yelled about seeing a roach's son is not depressed. There is no indication in the text that this person is experiencing any mental health issues. The language used"
"hi everyone....Hope u'll enjoy my blog. I'll do the max to share things with u guys n gals :) I'll try to update frequently...so visit me :) tk care...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Today I had so much fun.  I met a new guy, his name is Kenny.  I met him at my friends house where we were rehearsing are skit for the MDA fair.  Kenny is the magic mirror in the skit.  He is hilarious. Most of his part is him just making stuff up off the top of his head.  He is 18 and acts like a 15 year old.  Today he tackled me, it was so funny because I play insulted him and he jumped me. We called a truse after that but kept messing around.    most of my friends are guys.  I don't really know why but they are.  I just feel really comfortable around them.  When I am around girls all they do is gossip and talk about you behind your back.  But guys are not like that at all, except for the gay ones but I only have one gay friend.  The guys I hang out with are usually what people call geeks or nerds or whatever you want to call them.  Have you noticed that all the really nice guys are nerds or geeks?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Awoke this morning to a text message from Rob, obviously sent before he went on his way to Alton Towers.  Decided not to get up straightaway though, a mistake in itself as when I did get up I'd got a raging headache!  Managed to get my car cleaned and dried just as it started to rain, ah well...at least it's looking better than it was.  Btw, the text is a little bit too risque to publish on here, but it referred to the frolics of yesterday afternoon. *blushes*     Got someone else coming to see the house later this afternoon...a first-time lady buyer apparently.  Seems like the influx of Londoners coming into the sticks hasn't ceased as this is the fourth so far.  I just find it weird really that there have been ""so many"" of them...mustn't complain though if they're interested in buying the place.     Found out today that Helen is changing her car next week from the Corsa to a People Carrier type vehicle.  Not sure what it is as yet, but I'll get to see it sooner or later!     Dad is still in a mood over something or other.  Does my head in.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"hey it is me agian and i just looked at this sight and omg was it gross it showed a hole bunch of gross shit like this guy that cut up hi kne like really bad. i was at rotten.com you should go some time!!!  me and lizzy fead the birds today and i think hector is ditching right now its 6th period with this guy kaylub eww.. lizzy went out with he is so ugly and yeah well i am going to go now ok byebyez --misty

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"My first blog! I know its kinda cheesy after other people have already had one but...what the hell. It gives me something to do other then gay msn. Anyway, It was Colour Night tonight. It was...Colour Night. Nothing Special. Tyson won for the SRC President and I brought home Top Male Jr. in track,and not a single academic award...as usual. After that, Mitch, Scott, Kendra and Me went cruisin around for abit and went to the FT. It was fun. It was better then doing homework at an old ladies house... Anyway, Time for bed...Later

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well I talked to Eric and he said he didn't tell Erin anything, but he does like me.  So that's good.  Although, he just wants to be 'single' for awhile.  Oh well.. we're still friends, and that's awesome!  I was just starting to come out of my head, but I thnik I'm gonna go back in for awhile....  ~Can't blame a girl for trying...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Ya,we won a friendly match today it was against bedok police basketball team. It was a great match, whenever we score they will also return it. And the score was always so close not more than 6 i think, both team are having a hard time trying to score but because they were taller and bigger in size so we reaili had a hard time fighting for the rebound. Sad because of today's match i was injury again got elbow by 1 of them but he did't do it purposely so i did't mind it. Anyway i like this kind of match most, it was so fun to have evenly match opponent. ("",)

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No.
"Living in California I discovered a wonderful sport - Rugby. I know, I know what you must be thinking. Extreme pain. Trust me, the way girls play, it's not painful. It's like tackle football with the guys back in the South. If you don't want to land on the ground, just find somebody and land on them.  I can run pretty fast, so I'm a center (in a full squad of Rugby I play outside Center). Summer 7's (that's 7 minute halves, with 7 players on a full field) is geared for the backs and I absolutely love it! It's the closest I'll come to playing contact football, without the protection (mouth guard is it baby).  I play with some of the girls on the San Jose State team. They are a bit whacked (yes, Virg, I'm talking about you, and you Kelly). Last year on Thursday nights we'd practice on the beach then head over to the Beach Boardwalk and ride the roller coaster (and while most people hung on to the safety bar, Virg hung onto her breast, to each their own, I guess, Virg you little freak).   So far, on our first tourney we won all three games. I was unable to play because I popped a blood vessel in my eye.  I know what you are thinking - Ew.   Trust me, I ran for my phone so fast to call my eye doctor, Holy Toledo. I wasn't in pain, just had this HUGE bubble of blood in my eyeball, well, that's gone but there is a sea of blood around my eye now.  Of course I now go around freakin' everyone out. My rugger mates told me to come up with a creative story, that taking my contact out wasn't good enough... so here goes:  Two guys, one small room, very little time...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Hello and blessed be to all! Well, this is the beginning of my new journal. I had one on AOL, but for personal reasons moved my writings of my escapades to BloggerLand. I've also had numerous physical journals and I've only recently started online journals. As you can see, I love to write. It is one of my greatest passions and sometimes I must write to feel better.  I'm also just as passionate about history, theater, and Paganism. So I guess you could call me a Pagan writer-actor-historian.   Lil' bit bout myself: My name's Brian and I'm 17, living in Hartford, CT. I go to Bulkeley High School and the Academy of the Arts, and I'm overall happy with that. I'm a senior now, and life doesn't seem any different. I guess it's because of my up bringing that I feel like that. You see, I live with my mother, stepfather, and three brothers and our family's pretty boring. For all you kids out there with no siblings, I HATE you. You are too lucky. Siblings-especially brothers-can be a pain in the arse. Trust me, I have three of them!!   A couple of things have made my existence a bit more bearable. Firstly, my faith. I am a proud and out-of-the-broom-closet Pagan who loves the Great Mother. I've been Pagan for five years, and my specialty is healing and the Tarot. I have more Pagan books than I don't know who, and for the most part they were worth the money. I'm also blessed with the gift of the arts. I have dabbled in just about all the arts: painting, photography, songwriting, puppetry, but my two favorites are theater and writing. Though I don't want to be a professional actor, I still at least want to be an  amateur  actor; amateurism deserves more dedication than a hobby, but not as much as a profession.  I just love the theater, but being a professional actor is too harsh a life for me. I want to be a history professor. It isn't as exciting as being an actor, but I love it nonetheless. It is also a very flexible career, and it'll allow me to write--my other passion.     I hope to one day be a published author, but right now I'm just writing. I usually never finish a story or elaborate an idea, but at least I'm writing it down. Eh? I write all kinds of shtuff, but short stories are my speciality. As I continue to write in my journal, I'll slip in a piece or two to entertain any and all.    Well, that's enough writing for now. Enjoy my escapades!!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"The HRM at my store is such a dipshit!  I'm taking a leave of absence (FMLA) and he tells me he needs me to come in and ""meet"" with him.  If I wanted to come in at his whim - then I wouldn't need the LEAVE OF ABSENCE!!! I'm not on the clock - I'm on a leave... He is so stupid and doesn't understand ANY labor laws. In other news, hubby and I are going to go to an auction to try and buy a house.  There is going to be an open house this Sunday so that we can see the inside of the house ~ I can't wait to see how it looks!  If things work out, we might be able to get this 3br/2ba house on over 5 acres for less than .... well, let's just hope that we can be the highest bidder..

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Today I write on were I live, but I think I shall start with were I am from. I give you this information so that when you read my future commentaries, you will understand why I think the things I do.     I grew up in the metropolitan city of Tulsa, Oklahoma, born in 1979 and lived there until I was 18 years old. My school career consisted of living and learning with the same group of kids from Elementary~High School (give or take a few). I made many friends and lived within a social standard that rated second to none. I had everything I wanted, popularity and a social stance that should make Barbie jealous. There I was happy. After graduation I decided to move to Atlanta, Georgia (good old Hotlanta). There I lived for 2 years among my father's side of the family within a few miles of where I stayed. Atlanta was beautiful and had a lot to offer to someone seeking a professional business career, but it had it's down side too. I soon found that the night life was too enticing to ignore, and I knew I would break myself long before any good could come of the situation. With that, I moved to Michigan. As a child I would come up every summer to a small lake located between a small city and an even smaller township. I had always thought (then) that I would move to the lake and have a life of lake living and contentment upon knowing people with a higher stature and career driven lifestyles.           Now, after all that back ground I can finally tell you my stories of what I would like to call, ""As the village turns.""

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I guess blogs are the new thing, and I don't want to be left out, so here's my attempt at keeping up with technology.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Man will this rain ever stop. Two days straight now, it has been raining. Pittsburgh must be a swamp, by now...  WWE RAW was a good show last night. My first wrestling show live. The Battle Royal was really cool, the Triple H/Chris Benoit 60 minute Iron man match was spectacular. The highlight of the evening however...  THE FLAIR FLOP  Yes... I have finally seen Ric Flair get the shit kicked out of him... pause in the corner... walk forward... stagger a little and fall forward flat on his face... IN PERSON! My life is complete. Hot crowd, great action, although we did chant ""Here we go, Steelers!"" during the Iron Man match. Us Pittsburghers... class ALL the way!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"The city I work in, which feels and seems much more like a town, has a courthouse square downtown.  There is a big courthouse surrounded by a fair bit of grassy area with lots of trees, a beautiful little spot really.  It really adds to the whole town feeling.  All sorts of things happen in the town square: art festivals, performing art festivals, food & drink tasting, local merchant festival, and many more.    Well, one thing I've noticed since I started working downtown is that people (men mainly) like to take a mid-day nap in this courthouse square.  I lived outside of new Orleans before I moved here, so at first I thought these nappers were homeless people, untill I paid a little more attention to them.  The majority of these napping people are wearing clean, well kept clothes, and are clean-shaven.  In other words, they are just people who live/work around downtown who like a little afternoon nap.  They pick a tree, lay down, and just doze off for a little while.  I find that kind of interesting.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No
"So what if I couldn’t drive??! It’s not like it is a crime to not to know how to drive? I mean, it’s not like I am troubling anyone by asking them to give me a lift, right?? Right??!! Well, ok.. maybe in some cases when I go partying with my friends… but then again, they offer to pick me up.. I didn’t force them, did I? Did I?? Malaysia has lots of public transports to choose from.. so, why the worries??   Consider this…    Men prefer their women to be more independent. You are independent if you know how to drive. I do not know how to drive.    Can someone tell me where’s the validity to the above statement?? Can anyone see the logic?? I don't think so.. but even if there's a yes among you people who read this.. I'll say, ""Screw the men!"" It's not my problem if they couldn't accept the fact that I can't drive!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Freaks and Geeks Seinfeld The Larry Sanders Show 90210 Chapelle's Show That 70's Show. Late Night w/Conan O'Brien. Mr.Show Curb Your Enthusiasm The Sopranos The Daily Show Reno 911

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Hey, I feel like its been awhile, when in all relativety, my mind is always thinking and it feels like awhile, because things come and go in my head, and by the time, i get to this very ""subject"" of this post, I have been through many other subjects as well.  First off,   to get it off my mind, I just saw the movie ""little black book"" and ending said something like, life happens most, when you are planning for something that is approaching. So stop planning and live your life now. That totally goes against my life, because I have always been the planner, because then I think that I get what I want. But what if I didnt plan, and got what I needed the most, and secretly wanted the most too. But then if you dont plan at all, you could be a loser who doesnt do anything. Conflicting thoughts. I have always told myself not to plan so much, its just that it comes so naturally to me, to plan for college, plan why someone likes me, plan how i mangage my friends, money...everything. Maybe I will start by unplanning some of those things..and letting them come to me. One small thing at a time. I suppose.   we;ll talk soon. Caitlyn

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Well it started of ok, I did some exercising.  Then I went to the drug store to price the perscription I have been carrying around with me, and had never gotten it filled.  I found out to have it filled it would be 130$.  My god what do they think I am made of, Money? Well anyway, I won't be getting that anytime soon.  Then when I came home Pat made a really good stir fry for supper.  But then Karmen was really cranky tonight and my cat got hit by a car.  The cat's ok though so that was good. I have had such a day of ups and downs. But I am still able to say I had an ok day.  I still don't know how to post pictures on here.  But when I can I will put a picture of my beautiful baby doll.  She is positively gorgeous.  I have a job interview next week and I am really nervous. I don't know how well it will go with no voice, and I get nervous in interviews.  When I get nervous I ramble.  So I have started preparing I have over 200 questions I am going to plan the answers too, I am going to plan the questions I am going to ask them at the end and I am researching the company.  That is all I can do besides remembering to breathe.  I just feel I have to make an extra big impression perferably on the good side, since I don't have much of a voice.  So any advice you can give me for my interview would be great:) I hate interviews.  I can write wicked resumes and a good coverletter, but I suck at the talking to people. They intimidate me, and I can not seem to picture people in their underware no matter how hard I try. I never know what to wear to interviews either.  I always feel like I am under dressed for them.  I don't own a ""business suite"", what I have are dressy clothes but to me they don't scream interview clothes.  Anyway I think I have rambled enough for today.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"well today chris n andrew called me n emily at like 1015 in the mornin n woke us up... to tell us that they were comin over... so they did n tehn they started wrestling w/ me... then wen they left me n emily watched this crazy episode of jerry springer w/ this migit that had sex w/ liek 10 girls inlike 1 month.... woah wat a crazy migit.. lol so then chris n andrew came back over n then they made me make them nuggets n patties.... n then they told me that my pattioes n nuggets were horrible... :(  so they left cause andrew had to go to work...so i started watching all my other tv shows.... n me n emily r bein lazy... ill update this biotch later... lol

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"And so begins the life of my blog, a true understanding of what it is to be bloggish. Okay, so maybe I made that word up. I thought I would begin my disadvantageous interest in blogging for the first time. I have read many and participated in none. Creating this posting off of pure allurement of the idea has been quite interesting and (hopefully) stays that way. Today I create, and juxtapose the ideas of life and wonderment of a being, which whom, has a slightly higher interest in being more than most. With this, I bid you farewell until next time, for now I have work to do.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Where to begin?! The beginning would be good but I feel that jumping around keeps you on your toes more...jazz's things up a bit!  You are going to go on a strange trip, so grab a cocktail, sit back and buckle up...you are in for a long strange ride...YE-HAAAA!  First of all I must confess that I am the worst writer in the world, my grammar, punctuation and spelling are atrocious. It doesn't matter that there is spell check on this...it just don't matter! I am hopeless!!!!  I feel very old but I know I really am not. I am only 42, well I will be 43 soon. I am a single female, well not really single. I am in a relationship and have been for almost 6 years. My relationship is with another female who is 3 yrs. younger than me. What is age? Just a number. I don't look my age. I look maybe 5-6 yrs. younger than I am if not more on a really good day! Now my body feels like it is 143, which is a shame and that's a novel in itself.  I feel like I am such a failure and a disappointment to my mom, my partner and myself. I have some sisters, 3 to be exact but it don't really matter, they aren't much better. I think of them as 3 peas in a pod all fighting for lead pea! I don't care what they think about me or my life style. I think I am disappointed in life myself...Is this it? Is this all I get? Well if it is I want a refund or I would even settle on an exchange! I know it isn't really fair to say ""IS THIS ALL I GET"" It is the cards I have been dealt, its no ones fault that I haven't done something with myself and my life, not anyones fault but my own. Have I been lazy? I think so. I also think some of it has to do with no encouragement in my younger years. I was really good at the artsy stuff in school. As a matter of fact the art classes are the only classes that I did good in and actually got a's...A+'S at that. As for all the other classes I was lucky to get D's. I had no interest in anything other than art when I was younger. Had I had encouragement who knows where I might be right now instead of here. But no matter what, how I have turned out, how my life is right now is my doing and no one else's. I could have pushed myself to go to school, to make better job choices and to do a bunch of things differently. I guess I blame myself. I have to.  Alrighty, this is it for now, tune in another time for more!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Which I already knew, of course, but I am feeling pretty sorry for myself. Three and a half weeks ago I tore ligaments in my left knee, effectively curtailing most fun for the next several months. PMO!!! Anyway - the good news is that the bruising has now faded, the swelling is down, I can walk further than I could even a couple days ago. The bad news is that I am still wearing this silly brace and using a cane. The physiotherapist said I ""did a real number"" on my LCL and illotibial band (sp?) and can expect the healing process to take a while. It could have been worse right? I could have broken my leg or completely torn the LCL. It could have been my right leg and I wouldn't be able to drive.   So much for paddling this summer. At this point I still can't bend my knee far enough to get or out of a boat. I CAN still do weights though and I had a short somewhat successful trial on my indoor bike a couple days ago. I walked around the bloack today too - not exactly the 10km run I wished I was doing, but a few days ago I could only make it halfway around and today the whole loop was easy. Progress, progress.  My plan for tomorrow is to get up and ride my bike (indoors again) after I do my physio exercises.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Well, I thought if Lloyd can do it, so can I.       Haha. Good gutiarist though.       I wouldn't get too excited about this...chances are I'll have given up on this by the end of the week. Well, a week is enough to discover the excitmentness of my life.      So...it's 11:16, I'm listening to  Ace of Spades  by  Motörhead . I also just learnt the bass to  Are you gonna be my girl?  by  Jet . I've made an executive desicion, and I like them. A bit.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
